>.<,-0.070866,2.77E-75
o.o,-0.070157,1.51E-73
t_t,-0.069756,3.38E-74
manga,-0.069509,7.18E-74
^,-0.069341,3.22E-73
> . >,-0.068069,1.92E-70
_,-0.06763,9.99E-70
^ ^,-0.06727,1.07E-68
internet,-0.066852,2.13E-68
: 3,-0.062747,7.01E-59
d:,-0.061575,1.65E-55
0,-0.05934,2.81E-53
^_^,-0.058475,5.8E-51
sigh,-0.057656,6.07E-50
computer,-0.055445,2.88E-46
pokemon,-0.054476,1.56E-43
the internet,-0.054324,2.8E-44
x_x,-0.053928,1.8E-43
>,-0.053923,2.54E-43
dx,-0.053899,3.65E-43
o_o,-0.053659,1.32E-42
* sigh,-0.053025,1.04E-41
-.-,-0.052576,2.13E-40
>_<,-0.051196,8.87E-39
* sigh *,-0.051114,1.34E-38
. : 3,-0.050927,2.43E-38
sigh *,-0.050307,2.76E-37
t . t,-0.050225,3.59E-37
-_-,-0.048428,1.03E-33
final fantasy,-0.048368,2.37E-34
x3,-0.047938,1.04E-33
d:<,-0.047372,8.7E-33
ang,-0.04712,1.52E-32
japanese,-0.046842,3.3E-32
mga,-0.046659,7.24E-32
@_,-0.045943,7.59E-31
drawing,-0.045933,8.68E-31
> <,-0.045659,2.77E-30
@_ @,-0.045437,4.11E-30
apparently,-0.045384,4.58E-30
doctor who,-0.04494,1.91E-29
pc,-0.044244,2.68E-28
. at least,-0.044107,3.07E-28
reading,-0.043824,7.48E-28
ng,-0.043821,8.99E-28
. ^ ^,-0.0437,1.36E-27
draw,-0.043695,1.15E-27
my computer,-0.043449,2.28E-27
ako,-0.043168,6.89E-27
nga,-0.043164,7.33E-27
comic,-0.043094,7.46E-27
to draw,-0.042917,1.43E-26
using,-0.042464,8.79E-26
won't,-0.042333,1.49E-25
related,-0.042151,1.56E-25
books,-0.042104,1.78E-25
evil,-0.041891,3.41E-25
they're,-0.041639,8.13E-25
please put this,-0.041437,6.37E-24
naman,-0.041265,2.39E-24
suddenly,-0.041217,2.49E-24
rin,-0.040971,5.75E-24
lang,-0.040959,6.16E-24
xp,-0.040684,2.67E-23
8d,-0.040679,1.65E-23
zombie,-0.04054,2.91E-23
! ^ ^,-0.040486,3.14E-23
^ -,-0.040484,3.06E-23
human,-0.040293,4.24E-23
to read,-0.040219,5.29E-23
metal,-0.039972,2.06E-22
people won't,-0.039971,1.48E-22
laptop,-0.039698,2.97E-22
93.00%,-0.039586,9.2E-22
gaming,-0.039416,6.32E-22
i don't,-0.03935,8.31E-22
ni,-0.039338,7.38E-22
depression,-0.039286,8.43E-22
0.93,-0.039256,1.3E-21
google,-0.039239,9.34E-22
don't want to,-0.03913,1.62E-21
sort of,-0.039061,1.33E-21
characters,-0.039059,1.39E-21
related to,-0.038904,2.49E-21
account,-0.038809,3.94E-21
0.93%,-0.038666,6.86E-21
- ^,-0.038552,8.07E-21
pages,-0.038452,9.17E-21
wala,-0.038338,1.22E-20
kaya,-0.03833,1.21E-20
^ - ^,-0.03827,1.74E-20
to kill,-0.038223,2E-20
didn't,-0.038213,1.91E-20
>:d,-0.038189,2.67E-20
>:,-0.038187,2.95E-20
i don't want,-0.038154,2.73E-20
managed to,-0.037836,4.47E-20
sa mga,-0.037752,6.41E-20
,,
gym,0.064519,1.33E-63
out with,0.064569,1.33E-62
? ? ?,0.064663,3.15E-63
ill,0.064778,2.88E-63
great weekend,0.064785,1.14E-62
a great night,0.064826,4.68E-64
but im,0.064925,2.51E-63
! cant wait,0.065027,8.24E-64
had an amazing,0.065071,7.59E-64
its,0.065183,4.62E-64
last night,0.065444,6.38E-65
love u,0.065615,6.73E-65
the best,0.065732,7.43E-66
love my life,0.065735,9.79E-66
this weekend,0.065762,1.83E-65
ladies,0.065824,1.42E-65
ready to,0.066012,2.83E-65
wait to see,0.066403,7E-66
last night was,0.06673,1.35E-67
excited for,0.066859,1.76E-65
the beach,0.066888,4.87E-68
guys,0.067002,1.56E-67
my life,0.067033,5.33E-68
had a great,0.067034,5.27E-67
here we come,0.067154,1.97E-68
i cant,0.067253,3.8E-67
with the girls,0.067436,5E-68
here we,0.067471,2.31E-69
im so,0.067966,1.81E-68
text me,0.067994,6.32E-69
my baby,0.068289,7.32E-69
bout to,0.06833,3.4E-71
!,0.068387,1.2E-70
bday,0.068447,3.51E-71
i dont,0.068712,1.05E-69
haha,0.069253,1.23E-66
so excited,0.069679,1.07E-69
feelin,0.069761,2.55E-74
a lil,0.069877,1.08E-74
night was,0.070094,8.04E-75
last night !,0.070449,1.74E-75
yall,0.070543,2.02E-76
lookin,0.070587,2.78E-76
wit,0.07103,4.66E-77
miss,0.071597,1.37E-75
lets go,0.071793,4.21E-79
great day,0.071962,7.09E-78
babe,0.072716,1.32E-80
bestie,0.072805,1.84E-79
? ?,0.073055,5.82E-81
sooo,0.073093,3.78E-77
amazing,0.073429,2.07E-81
a great,0.073513,1.39E-80
soo,0.073612,6.63E-79
chill,0.07371,2.39E-83
ready for,0.073824,2.15E-82
hit me,0.073896,2.16E-83
bout,0.0742,6.23E-84
doin,0.074412,8.39E-85
i love,0.075352,6.03E-84
blast,0.075591,1.12E-87
goin to,0.076162,2.62E-88
soooo,0.076253,7.43E-86
! !,0.076864,2.28E-90
excited,0.076892,3.24E-84
;),0.077329,9.61E-89
! ! !,0.077357,5.93E-92
wait to,0.077781,7.04E-91
thats,0.078205,8.72E-93
i love you,0.078736,1.81E-91
ready,0.078951,1.07E-94
my girls,0.078963,3.98E-94
weekend,0.079723,9.43E-97
a blast,0.080497,2.26E-99
aint,0.081058,8.11E-101
an amazing,0.081636,4.31E-102
fam,0.081646,1.79E-102
boys,0.081934,1.39E-102
beach,0.082312,1.48E-104
girl,0.082373,3.79E-103
lets,0.082495,1.11E-105
lovin,0.08284,9.5E-106
cant wait to,0.083,1.82E-105
great night,0.083338,9E-108
goin,0.086137,3.66E-113
hit me up,0.086187,3.99E-114
night with,0.086602,4.63E-115
i love my,0.086688,1.85E-112
ya,0.086699,5.92E-117
dont,0.086847,1.19E-113
chillin,0.086999,3.05E-117
lil,0.089155,9.74E-123
gettin,0.08942,9.84E-124
love you,0.090361,6.89E-120
baby,0.092409,8.41E-129
cant,0.094729,7.02E-135
im,0.096126,1.45E-132
girls,0.098354,2.05E-147
cant wait,0.099558,6.31E-151
party,0.110272,3.76E-190
